Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -337.0665    -337.0665       0.0000     0.0
0.2000        3336.3475    -282.8451    3619.1926  583319.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -337.0665    -337.0665       0.0000     0.0
0.0200         365.0818    -353.2791     718.3609  115781.0
0.0400        1069.8971    -326.5268    1396.4239  225067.1
0.0600         915.5747    -319.1811    1234.7558  199010.4
0.0800         661.9029    -324.6877     986.5906  159012.7
0.1000        1021.7189    -315.7017    1337.4206  215557.3
0.1200        1073.5459    -301.0971    1374.6429  221556.6
0.1400        1525.6322    -290.1146    1815.7468  292651.0
0.1600        1700.0117    -288.8080    1988.8197  320545.9
0.1800        2773.2057    -292.9624    3066.1682  494186.3
0.2000        3336.3475    -282.8451    3619.1926  583319.5
